Program ID,Source Filename,Screen Shot,Description,Last Update,Version,Author,Lines,Subroutines,Challenge
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\10進→16進変換.sb,,CASIO FX-700P,,,,33,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\acyducy.sb,,,,,,190,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\acyducy2.sb,,,,,,190,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Alarm.sb,,ALARM01.smallbasic - Alarm,,v0.1,,50,OnTick,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ArcCos.sb,,ArcCos graph,,,,17,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ArcSin.sb,,ArcSin graph,,,,17,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ArcTan.sb,,ArcTan graph,,,,19,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\Area.sb,,for any polygon_ the area is / para cualquier polígono_ el área es,,,,56,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\argTest.sb,,,,,,6,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ArrayTest.sb,,,,,,25,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\ascii.sb,,,,,,25,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\auto.sb,,AUTOMATISCHE ERSTELLUNG DER UPDATETEXTDATEI,,,,462,Graphicwin Graphic ProgDir Filecheck BC Help MD Load Save ShapeMove Add Clear TT,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\AutoOriginal.sb,,AUTOMATISCHE ERSTELLUNG DER UPDATETEXTDATEI,,,,487,Graphicwin Graphic ProgDir Filecheck BC Help MD Load Save ShapeMove Add Clear TT,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\BarnsleyFern.sb,,Modified by Nonki Takahashi,,,,30,,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\battle.sb,,,,,,354,,
NFB246-0,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\BlackJack.sb,,original,,,,159,Begin Deal AI Count,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\BlueBerry.sb,,,,,,38,Leaf,
,C:\Users\Nonki\OneDrive\Documents\MySmallBasic\BpPink.sb,,,,,,416,forwardPropagation backPropagation testMode readFile scanf printWeights initialize,
